phase,epoch,train_loss,train_acc,val_loss,val_acc
Phase 1 (Classifier),1,1.2091878290814453,60.15531660692951,0.8926492193557697,80.44692737430168
Phase 1 (Classifier),2,0.8075324127466164,75.80645161290323,0.6973065540777238,83.24022346368714
Phase 1 (Classifier),3,0.7290989134901313,76.28434886499403,0.6120903949830785,82.12290502793296
Phase 1 (Classifier),4,0.6176406352323444,80.22700119474312,0.5386246244667628,84.07821229050279
Phase 1 (Classifier),5,0.5704079220514287,81.83990442054959,0.5120530967605846,83.79888268156425
Phase 1 (Classifier),6,0.5557908332476051,81.24253285543608,0.47107327900119333,85.75418994413408
Phase 1 (Classifier),7,0.5291017205626877,82.49701314217444,0.45052333367603453,85.75418994413408
Phase 1 (Classifier),8,0.512595378441053,82.91517323775388,0.43406024475337407,87.43016759776536
Phase 1 (Classifier),9,0.5004677520430644,82.43727598566308,0.416770222799738,86.31284916201118
Phase 1 (Classifier),10,0.4690242723752094,83.27359617682198,0.4210218445881785,85.47486033519553
Phase 1 (Classifier),11,0.46417340241025423,84.88649940262843,0.4020300149584616,87.43016759776536
Phase 1 (Classifier),12,0.42304092289583944,85.42413381123059,0.4080799455083282,85.75418994413408
Phase 1 (Classifier),13,0.4655378428482525,83.09438470728793,0.37540011549129165,86.59217877094972
Phase 1 (Classifier),14,0.41250361642814737,86.73835125448029,0.3802671629789821,86.31284916201118
Phase 1 (Classifier),15,0.46344652565434274,83.81123058542413,0.36534823385696835,86.87150837988827
Phase 2 (Deep Fine-Tuning),1,0.39586952191598385,86.61887694145759,0.3623587443342422,87.43016759776536
Phase 2 (Deep Fine-Tuning),2,0.3884925847982135,85.90203106332139,0.34650697496683236,88.26815642458101
Phase 2 (Deep Fine-Tuning),3,0.36940515162412124,87.03703703703704,0.3346260245785367,88.54748603351955
Phase 2 (Deep Fine-Tuning),4,0.35660742531255724,87.51493428912784,0.32579817718633725,89.10614525139665
Phase 2 (Deep Fine-Tuning),5,0.362587240719311,87.69414575866189,0.324324330887315,90.78212290502793
Phase 2 (Deep Fine-Tuning),6,0.33464743152456616,89.18757467144565,0.3177295549455302,88.8268156424581
Phase 2 (Deep Fine-Tuning),7,0.3332530165284765,88.82915173237754,0.30207762754829237,89.66480446927375
Phase 2 (Deep Fine-Tuning),8,0.31566641891871444,89.36678614097968,0.3061557372189101,91.06145251396649
Phase 2 (Deep Fine-Tuning),9,0.3295732822754335,88.59020310633214,0.2930857283609539,89.3854748603352
Phase 2 (Deep Fine-Tuning),10,0.33313166148061535,87.81362007168458,0.28858813651780174,90.50279329608938
